    x   | sin(x) | cos(x) | tan(x) 
--------+--------+--------+--------
  -4.000|  0.7568| -0.6536| -1.1578
  -3.500|  0.3508| -0.9365| -0.3746
  -3.000| -0.1411| -0.9900|  0.1425
  -2.500| -0.5985| -0.8011|  0.7470
  -2.000| -0.9093| -0.4161|  2.1850
  -1.500| -0.9975|  0.0707|-14.1014
  -1.000| -0.8415|  0.5403| -1.5574
  -0.500| -0.4794|  0.8776| -0.5463
   0.000|  0.0000|  1.0000|  0.0000
   0.500|  0.4794|  0.8776|  0.5463
   1.000|  0.8415|  0.5403|  1.5574
   1.500|  0.9975|  0.0707| 14.1014
   2.000|  0.9093| -0.4161| -2.1850
   2.500|  0.5985| -0.8011| -0.7470
   3.000|  0.1411| -0.9900| -0.1425
   3.500| -0.3508| -0.9365|  0.3746
   4.000| -0.7568| -0.6536|  1.1578
